geneID,6-7 internode,7-8 internode,B73 Mature Pollen,Ear Primordium 2-4 mm,Ear Primordium 6-8 mm,Embryo 20 DAP,Embryo 38 DAP,Endosperm 12 DAP,Endosperm Crown 27 DAP,Female Spikelet Collected on day as silk,Germinatin Kernels 2 DAI,Leaf Zone 1 (Symmetrical),Leaf Zone 2 (Stomatal),Leaf Zone 3 (Growth),Mature Leaf 8,Pericarp/Aleurone 27 DAP,Primary Root 5 Days,Root - Cortex 5 Days,Root - Elongation Zone 5 Days,Root - Meristem Zone 5 Days,Secondary Root 7-8 Days,Silk,Vegetative Meristem 16-19 Day
Zm00001d045861,NA,NA,NA,NA,NA,NA,NA,6579.755569,204.5146569,621.3226861,NA,NA,NA,NA,NA,95.6967477,NA,NA,NA,NA,NA,NA,NA
Zm00001d045862,NA,NA,NA,NA,NA,NA,NA,NA,90.74874988,NA,NA,NA,NA,NA,NA,302.9670236,NA,16.44724223,NA,NA,NA,NA,NA
Zm00001d045863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zm00001d045864,1215.563646,1431.709316,NA,1898.514241,1376.369906,839.6526756,473.3101053,349.1965336,106.4125374,2687.499077,129.9999325,1274.581345,1540.809621,1294.50278,36.12425401,303.2966973,234.7164689,62.90712164,941.3350254,993.7508461,440.3630911,492.0808781,1364.211164
Zm00001d045870,NA,30.93242951,NA,30.79468095,23.95678587,NA,NA,NA,45.49127449,NA,NA,NA,10.68129015,27.55402575,NA,20.18812036,NA,25.4495835,NA,NA,NA,6.526130331,NA
Zm00001d045875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.03437123,NA
Zm00001d045876,NA,NA,NA,NA,NA,NA,NA,70.94427386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.26056527
Zm00001d045885,NA,NA,NA,NA,NA,NA,55.42022617,NA,NA,NA,NA,NA,NA,NA,25.77987524,NA,NA,NA,NA,NA,NA,NA,NA
Zm00001d045887,39.12312532,NA,NA,80.20324037,NA,30.78729242,NA,60.93904439,35.13290031,29.24400379,NA,NA,NA,NA,NA,NA,NA,23.11120383,49.54898783,26.81372946,NA,19.77293688,NA
Zm00001d045889,1836.312609,1219.174087,NA,280.4671164,NA,673.3050392,809.0303784,421.800252,293.7905861,878.8091997,1083.350567,451.8978273,895.809475,NA,196.6196606,365.7265739,464.95054,209.0097292,4345.574777,NA,760.964224,29.42021657,1261.415687
Zm00001d045893,3573.710945,2281.538962,1385.409311,2825.233153,2360.965766,3715.399638,3523.316583,2933.746754,20723.99433,3857.871467,4169.030557,2345.38398,2959.875512,3257.417464,1387.571984,7100.222517,5913.497564,4053.708615,3019.826625,4045.242927,4493.231951,2830.38552,2225.205566
Zm00001d045894,73.25048393,180.6122508,76.37315489,200.2048211,371.1707409,282.5812949,126.9640207,262.5150945,292.0993709,219.0326808,266.992234,276.324313,229.6081831,172.3731842,21.53628736,365.6980312,209.7574325,266.3218708,252.201586,210.6156213,388.6635282,74.63675705,178.704552
Zm00001d045896,NA,NA,NA,568.2531178,134.7366038,397.8390809,NA,241.8923317,NA,NA,NA,438.3397912,382.422256,211.5486584,NA,NA,69.46285831,219.969984,320.5292956,591.6900401,66.2235474,NA,175.1855141
Zm00001d045897,56.77296136,100.2915582,18.30064012,90.99804957,155.2667244,353.9508584,253.9918326,53.69196203,19.98356258,166.36624,151.2572673,125.2081405,91.47314277,109.8319239,134.3220207,97.38957484,81.18256251,120.1656944,89.03036265,161.1578265,78.2143445,86.77528104,60.91442485
Zm00001d045905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.14773078,NA,65.32734985,NA,NA,NA,133.4428972,NA,NA
Zm00001d045906,NA,NA,1419.525073,NA,NA,NA,387.5016264,NA,174.295218,NA,867.04137,NA,NA,NA,NA,NA,244.3260897,241.4545718,211.5735391,236.4330613,NA,NA,NA
Zm00001d045909,NA,NA,NA,NA,NA,30.39339232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zm00001d045911,1027.434022,1118.860419,1786.035364,1297.446746,1421.719888,1144.827393,529.3300286,447.8446273,609.8633564,896.5880866,992.4043222,882.3007255,906.5774125,686.435164,339.3280058,559.8530754,919.3352573,1165.279734,622.2144994,703.04844,675.5350019,821.7821879,768.5683757
Zm00001d045919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.1889956,NA,NA,NA,NA,NA,NA,NA
Zm00001d045926,1072.667806,1074.295301,84.41430734,3374.352903,2689.248465,1463.66743,1273.235401,1358.596763,NA,507.3281082,1879.392674,1516.568093,4547.000054,2369.812642,195.5780084,308.6700223,1645.134473,607.1316322,3493.943265,6117.390348,4011.296967,368.451462,3298.636395
Zm00001d045938,NA,86.32622025,NA,44.81691035,60.15414243,122.983572,NA,NA,127.3984824,144.2098729,NA,50.10585597,NA,84.19645386,537.6073672,144.1976546,NA,NA,40.62007364,94.69879443,NA,73.91065054,NA
Zm00001d045944,22.07405695,40.16469363,NA,23.82111071,39.35867616,59.05954849,18.06440937,NA,NA,25.8598894,16.91276193,60.52190283,62.20318344,78.87931886,NA,7.959875628,32.07612111,39.119423,37.7582714,26.85166263,NA,21.92456606,31.92750489
Zm00001d045945,NA,NA,NA,NA,35.50368719,NA,NA,NA,NA,NA,NA,26.09575642,27.66403547,13.15145898,NA,NA,NA,NA,38.06905452,NA,NA,NA,51.4410362
Zm00001d045948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.92026006,NA,NA,NA,NA,NA,NA,NA
Zm00001d045950,NA,NA,NA,20.65178738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.82083366,NA,NA,NA,NA,NA,NA,NA
Zm00001d045953,101.2528105,107.191173,NA,98.82647792,94.69281981,131.7978008,114.1067275,64.49627266,54.52038178,72.14507295,96.80323725,88.79631439,113.9836665,96.41478668,12.68992207,49.49133262,22.5195437,45.63801552,44.30752184,53.39687541,22.76049505,64.78640181,187.2379837
Zm00001d045954,100.8571844,136.9289625,38.77205561,124.6766187,140.9722113,133.1136845,53.03108129,68.05018249,12.72967081,66.0017301,66.67830002,136.8899201,113.7651355,118.654582,28.35211791,48.18242974,34.30915105,33.73682475,107.3539931,106.8499011,23.54906423,38.88473392,145.2518906
Zm00001d045956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.605420721,NA
Zm00001d045965,539.1929222,1484.76887,75.26401609,1092.644142,1507.548911,1108.878347,1121.309459,977.34032,2336.340897,1250.269184,1872.765238,690.5005568,486.3936898,427.1336259,1074.771883,1754.252455,1158.528888,1313.498335,724.5864068,641.940241,594.5912139,1109.772172,1391.088503
Zm00001d045967,32.13884642,15.94631652,NA,NA,NA,NA,18.27984091,43.45868495,NA,24.16811523,21.85065107,15.74875096,11.7721906,17.73169167,22.56906031,26.78392939,15.28992945,NA,NA,13.53019808,NA,10.48837514,19.76879718
Zm00001d045968,NA,NA,NA,NA,NA,NA,NA,53.19423468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zm00001d045972,NA,NA,NA,NA,NA,NA,NA,NA,50.83610526,NA,NA,NA,NA,NA,NA,21.37136324,NA,NA,NA,NA,NA,NA,NA
Zm00001d045978,NA,NA,NA,NA,11.32398035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zm00001d045984,176.9144518,104.5992621,NA,NA,NA,NA,NA,NA,318.2102866,NA,29.8933766,NA,NA,NA,NA,49.03325782,80.38698757,NA,NA,NA,164.5726437,113.3033372,74.95742468
